pays,naissance,deces,commentaire
Espagne,06/12/1982,,
participation,classement,etapes-gagnees,
2005,31,0,
2006,Non partant,0,
2007,1,1,
2008,Non partant,0,
2009,1,3,
2010,Déclassé,0,
2011,Déclassé,0,
