pays,naissance,deces,commentaire
Espagne,15/04/1960,,
participation,classement,etapes-gagnees,
1983,15,0,
1984,Abandon,0,
1985,6,1,
1986,Abandon,1,
1987,2,1,
1988,1,1,
1989,3,0,
1990,4,0,
1991,9,0,
1992,6,0,
1993,9,0,
