pays,naissance,deces,commentaire
France,29/06/1881,24/04/1939,"En 1905, il remporte à la fois le Tour de France et le Paris-Roubaix."
participation,classement,etapes-gagnees,
1905,1,5,
1906,3,4,
1907,Abandon,1,
1908,Abandon,0,
1909,8,1,
1910,Abandon,1,
1911,Abandon,0,
1912,11,0,
1913,38,0,
