pays,naissance,deces,commentaire
France,02/03/1927,,
participation,classement,etapes-gagnees,
1951,57,0,
1952,Non partant,0,
1953,47,0,
1954,Non partant,0,
1955,Abandon,0,
1956,1,0,
1957,Abandon,0,
1958,75,0,
