pays,naissance,deces,commentaire
France,18/10/1882,20/12/1917,Ce double vainqueur du Tour est mort pour la France en 1917.
participation,classement,etapes-gagnees,
1905,5,0,
1906,4,0,
1907,1,2,
1908,1,5,
1909,Abandon,0,
1910,Abandon,0,
1911,Abandon,0,
1912,Abandon,0,
1913,Abandon,0,
1914,Abandon,0,
