pays,naissance,deces,commentaire
Espagne,09/06/1945,20/05/1994,
participation,classement,etapes-gagnees,
1969,abandon,0,
1970,31,1,
1971,abandon,2,
1972,abandon,0,
1973,1,6,
1974,,,
1975,abandon,0,
1976,14,0,
1977,25,0,
