pays,naissance,deces,commentaire
Espagne,03/08/1977,,"Le Tour qu'il remporte, en 2006, avait initialement été gagné par Floyd Landis, déclassé pour dopage."
participation,classement,etapes-gagnees,
2004,10,0,
2005,10,1,
2006,1,0,
2007,10,0,
2008,Abandon,0,
2009,Abandon,0,
