pays,naissance,deces,commentaire
France,10/01/1948,,
participation,classement,etapes-gagnees,
1970,35,1,
1971,4,1,
1972,9,2,
1973,2,2,
1974,Abandon,0,
1975,1,2,
1976,Abandon,0,
1977,1,1,
1978,Abandon,0,
1979,Non partant,0,
1980,17,0,
1981,37,0,
