pays,naissance,deces,commentaire
Belgique,17/06/1945,,"Le meilleur cycliste du XXe siècle, selon l'Union Cycliste Internationale."
participation,classement,etapes-gagnees,
1969,1,7,
1970,1,8,
1971,1,4,
1972,1,7,
1973,Non partant,0,
1974,1,9,
1975,2,2,
1976,Non partant,0,
1977,6,1,
