pays,naissance,deces,commentaire
France,14/11/1954,,Le troisième coureur à accumuler cinq victoires finales sur le Tour.
participation,classement,etapes-gagnees,
1978,1,3,
1979,1,7,
1980,Abandon,3,
1981,1,5,
1982,1,4,
1983,Non partant,0,
1984,2,1,
1985,1,2,
1986,2,3,
