pays,naissance,deces,commentaire
Royaume-Uni,28/04/1980,,Le premier coureur britannique à remporter le Tour.
participation,classement,etapes-gagnees,
2006,123,0,
2007,Abandon,0,
2008,Non partant,0,
2009,3,0,
2010,24,0,
2011,Abandon,0,
2012,1,2,
