pays,naissance,deces,commentaire
Italie,15/09/1919,02/01/1960,"Le premier coureur à réaliser le doublé Tour d'Italie-Tour de France, en 1949."
participation,classement,etapes-gagnees,
1949,1,3,
1950,Non partant,0,
1951,10,1,
1952,1,5,
