pays,naissance,deces,commentaire
États-Unis,26/06/1961,,Le premier coureur américain à remporter le Tour.
participation,classement,etapes-gagnees,
1984,3,0,
1985,2,1,
1986,1,1,
1987,Non partant,0,
1988,Non partant,0,
1989,1,3,
1990,1,0,
1991,7,0,
1992,Abandon,0,
1993,Non partant,0,
1994,Abandon,0,
