pays,naissance,deces,commentaire
France,04/08/1884,18/03/1941,"Le plus jeune vainqueur de l'histoire du Tour de France, à 19 ans, 11 mois et 20 jours."
participation,classement,etapes-gagnees,
1904,1,1,
1905,Abandon,0,
1906,Forfait,0,
1907,Abandon,0,
1908,8,0,
1909,Abandon,0,
1910,16,0,
1911,12,0,
1912,28,0,
