pays,naissance,deces,commentaire
Suisse,24/07/1919,,Le premier coureur suisse à remporter le Tour.
participation,classement,etapes-gagnees,
1947,Abandon,2,
1948,Non partant,0,
1949,Abandon,1,
1950,1,3,
1951,Non partant,0,
1952,Non partant,0,
1953,Non partant,0,
1954,2,2,
1955,Abandon,0,
