pays,naissance,deces,commentaire
Luxembourg,04/11/1899,08/11/1985,"Le premier coureur à avoir porté le maillot jaune du début à la fin d'un Tour, en 1928."
participation,classement,etapes-gagnees,
1924,2,2,
1925,4,4,
1926,2,5,
1927,1,3,
1928,1,5,
1929,5,2,
1930,Non partant,0,
1931,Non partant,0,
1932,45,0,
