pays,naissance,deces,commentaire
Pays-Bas,03/12/1946,,Le détenteur du record du nombre de deuxièmes places dans le Tour : six.
participation,classement,etapes-gagnees,
1970,2,0,
1971,2,0,
1972,5,0,
1973,4,2,
1974,Non partant,0,
1975,4,1,
1976,2,3,
1977,7,0,
1978,2,1,
1979,2,1,
1980,1,4,
1981,4,2,
1982,2,0,
1983,23,1,
1984,30,0,
1985,12,0,
1986,24,0,
