pays,naissance,deces,commentaire
Italie,29/09/1942,,
participation,classement,etapes-gagnees,
1965,1,3,
1966,Non partant,0,
1967,7,2,
1968,Non partant,0,
1969,4,1,
1970,Non partant,0,
1971,Non partant,0,
1972,2,0,
1973,Non partant,0,
1974,Non partant,0,
1975,6,1,
