pays,naissance,deces,commentaire
Belgique,20/10/1946,,
participation,classement,etapes-gagnees,
1969,12,0,
1970,6,0,
1971,3,0,
1972,4,1,
1973,5,1,
1974,18,0,
1975,3,2,
1976,1,1,
1977,3,1,
1978,9,0,
1979,11,1,
1980,16,0,
1981,2,1,
1982,Non partant,0,
1983,4,1,
1984,Non partant,0,
1985,27,0,
