pays,naissance,deces,commentaire
France,12/08/1960,31/08/2010,Le dernier vainqueur français du Tour en date.
participation,classement,etapes-gagnees,
1983,1,1,
1984,1,6,
1985,Non partant,0,
1986,Abandon,1,
1987,7,1,
1988,Abandon,0,
1989,2,2,
1990,Abandon,0,
1991,6,0,
1992,23,1,
1993,Abandon,0,
