pays,naissance,deces,commentaire
France,28/04/1941,,
participation,classement,etapes-gagnees,
1965,Abandon,0,
1966,1,0,
1967,6,1,
1968,7,0,
1969,30,0,
1970,17,0,
1971,9,0,
1972,17,0,
1973,17,0,
