pays,naissance,deces,commentaire
France,08/06/1907,24/01/1978,
participation,classement,etapes-gagnees,
1932,10,0,
1933,1,3,
1934,11,5,
1935,6,1,
1936,Abandon,0,
1937,Abandon,0,
1938,Elimination,0,
