pays,naissance,deces,commentaire
France,01/08/1894,15/06/1927,Le premier coureur italien à remporter le Tour.
participation,classement,etapes-gagnees,
1923,2,1,
1924,1,4,
1925,1,4,
1926,Abandon,0,
