pays,naissance,deces,commentaire
France,22/01/1889,01/05/1935,
participation,classement,etapes-gagnees,
1912,Abandon,0,
1913,Abandon,1,
1914,2,3,
1919,Abandon,1,
1920,Abandon,2,
1921,Non partant,0,
1922,Non partant,0,
1923,1,3,
1924,Abandon,0,
1925,Abandon,0,
