pays,naissance,deces,commentaire
France,12/08/1960,31/08/2010,Le dernier vainqueur français du Tour de France en date.
participation,classement,etapes-gagnees,
1983,1,1,
1984,1,5,
1986,Abandon,0,
1987,7,1,
1988,Abandon,0,
1989,2,1,
1990,Abandon,0,
1991,6,0,
1992,23,1,
1993,Abandon,0,
,,9,
