pays,naissance,deces,commentaire
Espagne,16/07/1964,,Le premier coureur à reporter le Tour cinq fois consécutivement.
participation,classement,etapes-gagnees,
1985,Abandon,0,
1986,Abandon,0,
1987,97,0,
1988,47,0,
1989,17,1,
1990,10,1,
1991,1,2,
1992,1,3,
1993,1,2,
1994,1,1,
1995,1,2,
1996,11,0,
