pays,naissance,deces,commentaire
Danemark,03/04/1964,,Le premier coureur danois à remporter le Tour.
participation,classement,etapes-gagnees,
1989,95,0,
1990,Abandon,0,
1991,107,0,
1992,Non partant,0,
1993,5,1,
1994,14,1,
1995,3,0,
1996,1,2,
1997,7,0,
1998,11,0,
