pays,naissance,deces,commentaire
Royaume-Uni,20/05/1985,,
participation,classement,etapes-gagnees,
2008,81,0,
2009,Non partant,0,
2010,Non partant,0,
2011,Non partant,0,
2012,2,1,
2013,1,3,
