pays,naissance,deces,commentaire
France,08/01/1934,18/11/1987,Le premier coureur à remporter cinq fois le Tour de France.
participation,classement,etapes-gagnees,
1957,1,4,
1958,Abandon,0,
1959,3,0,
1960,Non partant,0,
1961,1,2,
1962,1,2,
1963,1,4,
1964,1,4,
1965,Non partant,0,
1966,Abandon,0,
