pays,naissance,deces,commentaire
Italie,13/01/1970,14/02/2004,
participation,classement,etapes-gagnees,
1994,3,0,
1995,13,2,
1996,Non partant,0,
1997,3,2,
1998,1,2,
1999,Non partant,0,
2000,Abandon,2,
