pays,naissance,deces,commentaire
Allemagne,02/12/1973,,Le premier coureur allemand à remporter le Tour.
participation,classement,etapes-gagnees,
1996,2,1,
1997,1,2,
1998,2,3,
1999,Non partant,0,
2000,2,0,
2001,2,0,
2002,Non partant,0,
2003,2,1,
2004,4,0,
2005,Déclassé,0,
