pays,naissance,deces,commentaire
Irlande,28/11/1959,,Le premier coureur irlandais à remporter le Tour.
participation,classement,etapes-gagnees,
1983,13,0,
1984,25,0,
1985,3,1,
1986,46,0,
1987,1,1,
1988,Non partant,0,
1989,Abandon,0,
1990,44,0,
1991,Abandon,0,
1992,9,1,
1993,13,0,
