pays,naissance,deces,commentaire
France,27/02/1904,18/06/1980,
participation,classement,etapes-gagnees,
1927,4,3,
1928,2,4,
1929,11,5,
1930,1,2,
1931,10,1,
1932,1,6,
1933,31,2,
1934,Non partant,0,
1935,17,1,
1936,Non partant,0,
1937,Non partant,0,
1938,30,1,
