pays,naissance,deces,commentaire
France,16/01/1911,12/10/1996,
participation,classement,etapes-gagnees,
1932,23,1,
1933,29,0,
1934,3,5,
1935,Abandon,0,
1936,Non partant,0,
1937,1,3,
