pays,naissance,deces,commentaire
Belgique,11/09/1892,03/01/1980,
participation,classement,etapes-gagnees,
1914,Abandon,0,
1919,Abandon,0,
1920,Non partant,0,
1921,Non partant,0,
1922,Non partant,0,
1923,8,1,
1924,3,0,
1925,2,2,
1926,1,2,
1927,Non partant,0,
1928,Non partant,0,
1929,Abandon,0,
1930,Abandon,0,
