pays,naissance,deces,commentaire
Espagne,09/07/1928,,Le premier coureur espagnol à remporter le Tour.
participation,classement,etapes-gagnees,
1954,25,0,
1955,Non partant,0,
1956,4,0,
1957,Abandon,0,
1958,8,2,
1959,1,1,
1960,Abandon,0,
1961,Non partant,0,
1962,14,1,
1963,2,1,
1964,3,2,
1965,Abandon,0,
