pays,naissance,deces,commentaire
Belgique,14/07/1888,21/08/1965,Le premier coureur belge à remporter le Tour.
participation,classement,etapes-gagnees,
1909,Abandon,0,
1910,Non partant,0,
1911,Non partant,0,
1912,1,3,
1913,Abandon,0,
1914,Abandon,0,
1919,Abandon,0,
1920,Abandon,0,
1921,Non partant,0,
1922,Non partant,0,
1923,Non partant,0,
1924,Abandon,0,
