pays,naissance,deces,commentaire
Pays-Bas,19/05/1940,,Le premier coureur néerlandais à remporter le Tour.
participation,classement,etapes-gagnees,
1963,Abandon,2,
1964,24,2,
1965,9,1,
1966,2,0,
1967,5,1,
1968,1,2,
1969,10,0,
1970,26,0,
