pays,naissance,deces,commentaire
Belgique,14/03/1886,19/01/1964,"Le vainqueur du Tour le plus âgé (36 ans, en 1922)."
participation,classement,etapes-gagnees,
1911,11,0,
1912,18,0,
1913,4,1,
1914,8,1,
1919,1,1,
1920,3,2,
1921,9,1,
1922,1,0,
1923,Abandon,0,
1924,Abandon,0,
