pays,naissance,deces,commentaire
France,12/03/1925,13/03/1983,
participation,classement,etapes-gagnees,
1947,Abandon,0,
1948,4,2,
1949,Abandon,0,
1950,3,1,
1951,20,1,
1952,Non partant,0,
1953,1,2,
1954,1,3,
1955,1,2,
1956,Non partant,0,
1957,Non partant,0,
1958,7,0,
1959,Abandon,0,
