pays,naissance,deces,commentaire
France,24/10/1887,14 juillet 1917 à Toul,Ce vainqueur du Tour est mort pour la France en 1917.
participation,classement,etapes-gagnees,
1909,Abandon,0,
1910,1,4,
1911,Abandon,0,
1912,Abandon,1,
1913,Abandon,0,
1914,Abandon,1,
