pays,naissance,deces,commentaire
Belgique,19/03/1888,07/10/1969,
participation,classement,etapes-gagnees,
1914,14,0,
1919,4,0,
1920,4,1,
1921,1,2,
1922,Abandon,0,
1923,Abandon,0,
1924,Abandon,0,
