pays,naissance,deces,commentaire
France,10/06/1921,06/10/1980,Le premier vainqueur du Tour de l'après-guerre.
participation,classement,etapes-gagnees,
1947,1,3,
1948,16,0,
1949,4,1,
1950,12,0,
1951,27,0,
1952,5,1,
1953,Abandon,1,
1954,Abandon,0,
1955,Abandon,0,
1956,Non partant,0,
1957,Non partant,0,
1958,Non partant,0,
1959,Eliminé,0,
