pays,naissance,deces,commentaire
Italie,01/03/1930,01/02/1980,
participation,classement,etapes-gagnees,
1956,22,1,
1957,6,2,
1958,5,1,
1959,Non partant,0,
1960,1,0,
1961,Non partant,0,
1962,Abandon,0,
