pays,naissance,deces,commentaire
Luxembourg,26/01/1887,09/05/1915,Le premier vainqueur non-français du Tour.
participation,classement,etapes-gagnees,
1906,Abandon,0,
1907,7,0,
1908,2,4,
1909,1,6,
1910,2,3,
1911,Abandon,2,
1912,14,0,
1913,5,2,
1914,9,2,
