pays,naissance,deces,commentaire
Belgique,08/10/1889,17/01/1971,Le premier triple vainqueur du Tour.
participation,classement,etapes-gagnees,
1912,6,0,
1913,1,1,
1914,1,1,
1919,Abandon,0,
1920,1,4,
1921,Abandon,0,
1922,14,5,
1923,Abandon,0,
1924,11,2,
1925,Abandon,0,
