pays,naissance,deces,commentaire
Belgique,10/08/1912,22/02/1983,
participation,classement,etapes-gagnees,
1934,Abandon,0,
1935,1,3,
1936,Abandon,0,
1937,Non partant,0,
1938,Non partant,0,
1939,Abandon,1,
