pays,naissance,deces,commentaire
France,28/08/1940,,
participation,classement,etapes-gagnees,
1965,12,0,
1966,8,0,
1967,1,1,
1968,5,2,
1969,2,1,
1970,Abandon,0,
1971,Non partant,0,
1972,Abandon,0,
1973,Non partant,0,
1974,11,0,
