pays,naissance,deces,commentaire
Italie,18/07/1914,05/05/2000,Le seul coureur à avoir remporté deux Tours à 10 ans d'écart.
participation,classement,etapes-gagnees,
1937,Abandon,1,
1938,1,2,
1939,Non partant,0,
1947,Non partant,0,
1948,1,7,
1949,2,1,
1950,Abandon,1,
1951,4,0,
1952,4,0,
1953,11,0,
