pays,naissance,deces,commentaire
Luxembourg,08/12/1932,06/12/2005,
participation,classement,etapes-gagnees,
1953,Abandon,0,
1954,Abandon,0,
1955,3,2,
1956,13,2,
1957,Abandon,0,
1958,1,4,
1959,12,1,
1960,Non partant,0,
1961,3,1,
1962,9,0,
1963,Abandon,0,
