pays,naissance,deces,commentaire
France,16/02/1904,08/09/1983,Le premier vainqueur d'une étape en contre-la-montre individuel sur le Tour.
participation,classement,etapes-gagnees,
1927,6,1,
1928,6,2,
1929,7,0,
1930,3,1,
1931,1,1,
1932,Non partant,0,
1933,8,0,
1934,1,2,
1935,Abandon,0,
1936,2,1,
1937,Non partant,0,
1938,8,2,
