pays,naissance,deces,commentaire
Luxembourg,10/06/1985,,"Le Tour qu'il remporte, en 2010, avait initialement été gagné par Alberto Contador, déclassé pour dopage."
participation,classement,etapes-gagnees,
2008,11,0,
2009,2,0,
2010,1,2,
2011,2,1,
2012,Non partant,0,
