ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1967-Prologue,1967,Prologue,Angers - Angers,Angers,France,Angers,France,"5,775",(CLM),José María Errandonea Drapeau : EspagneEspagne,,José María Errandonea Drapeau : EspagneEspagne,
E-1967-1,1967,1,Angers - Saint-Malo,Angers,France,Saint-Malo,France,"185,5",,Walter Godefroot Drapeau belge Belgique,,José María Errandonea Drapeau : EspagneEspagne,
E-1967-2,1967,2,Saint-Malo - Caen,Saint-Malo,France,Caen,France,180,,Willy Van Neste Drapeau belge Belgique,,Willy Van Neste Drapeau belge Belgique,
E-1967-3,1967,3,Caen - Amiens,Caen,France,Amiens,France,248,,Marino Basso Drapeau d'Italie Italie,,Giancarlo Polidori Drapeau d'Italie Italie,
E-1967-4,1967,4,Amiens - Roubaix,Amiens,France,Roubaix,France,191,,Guido Reybrouck Drapeau belge Belgique,,Joseph Spruyt Drapeau belge Belgique,
E-1967-5a,1967,5a,Roubaix - Jambes,Roubaix,France,Jambes,Belgique,172,,Roger Pingeon Drapeau de France France,,Roger Pingeon Drapeau de France France,
E-1967-5b,1967,5b,Jambes - Jambes,Jambes,Belgique,Jambes,Belgique,17,(CLM par équipes),Drapeau : BelgiqueBelgique,,Roger Pingeon Drapeau de France France,
E-1967-6,1967,6,Jambes - Metz,Jambes,Belgique,Metz,France,238,,Herman Van Springel Drapeau belge Belgique,,Roger Pingeon Drapeau de France France,
E-1967-7,1967,7,Metz - Strasbourg,Metz,France,Strasbourg,France,"205,5",,Michael Wright Drapeau : Royaume-Uni Royaume-Uni,,Raymond Riotte Drapeau de France France,
E-1967-8,1967,8,Strasbourg - Ballon d'Alsace,Strasbourg,France,Ballon d'Alsace,France,215,,Lucien Aimar Drapeau de France France,,Roger Pingeon Drapeau de France France,
E-1967-9,1967,9,Belfort - Divonne-les-Bains,Belfort,France,Divonne-les-Bains,France,"238,5",,Guido Reybrouck Drapeau belge Belgique,,Roger Pingeon Drapeau de France France,
E-1967-10,1967,10,Divonne-les-Bains - Briançon,Divonne-les-Bains,France,Briançon,France,243,,Felice Gimondi Drapeau d'Italie Italie,,Roger Pingeon Drapeau de France France,
E-1967-11,1967,11,Briançon - Digne-les-Bains,Briançon,France,Digne-les-Bains,France,197,,José Samyn Drapeau de France France,,Roger Pingeon Drapeau de France France,
E-1967-12,1967,12,Digne-les-Bains - Marseille,Digne-les-Bains,France,Marseille,France,"207,5",,Raymond Riotte Drapeau de France France,,Roger Pingeon Drapeau de France France,
E-1967-13,1967,13,Marseille - Carpentras,Marseille,France,Carpentras,France,"211,5",,Jan Janssen Drapeau : Pays-Bas Pays-Bas,,Roger Pingeon Drapeau de France France,
E-1967-14,1967,14,Carpentras - Sète,Carpentras,France,Sète,France,"201,5",,Barry Hoban Drapeau : Royaume-Uni Royaume-Uni,,Roger Pingeon Drapeau de France France,
E-1967-15,1967,15,Sète - Toulouse,Sète,France,Toulouse,France,230,,Rolf Wolfshohl Drapeau d'Allemagne Allemagne,,Roger Pingeon Drapeau de France France,
E-1967-16,1967,16,Toulouse - Luchon,Toulouse,France,Luchon,France,188,,Fernando Manzaneque Drapeau : EspagneEspagne,,Roger Pingeon Drapeau de France France,
E-1967-17,1967,17,Luchon - Pau,Luchon,France,Pau,France,250,,Raymond Mastrotto Drapeau de France France,,Roger Pingeon Drapeau de France France,
E-1967-18,1967,18,Pau - Bordeaux,Pau,France,Bordeaux,France,"206,5",,Marino Basso Drapeau d'Italie Italie,,Roger Pingeon Drapeau de France France,
E-1967-19,1967,19,Bordeaux - Limoges,Bordeaux,France,Limoges,France,217,,Jean Stablinski Drapeau de France France,,Roger Pingeon Drapeau de France France,
E-1967-20,1967,20,Limoges - Puy de Dôme,Limoges,France,Puy de Dôme,France,222,,Felice Gimondi Drapeau d'Italie Italie,,Roger Pingeon Drapeau de France France,
E-1967-21,1967,21,Clermont-Ferrand - Fontainebleau,Clermont-Ferrand,France,Fontainebleau,France,359,,Paul Lemeteyer Drapeau de France France,,Roger Pingeon Drapeau de France France,
E-1967-22a,1967,22a,Fontainebleau - Versailles,Fontainebleau,France,Versailles,France,104,,René Binggeli Drapeau de Suisse Suisse,,Roger Pingeon Drapeau de France France,
E-1967-22b,1967,22b,Versailles - Paris,Versailles,France,Paris,France,"46,6",(CLM),Raymond Poulidor Drapeau de France France,,Roger Pingeon Drapeau de France France,
