ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1995-Prologue,1995,Prologue,Saint-Brieuc,Saint-Brieuc,France,Saint-Brieuc,France,"7,3",(CLM),Drapeau de France Jacky Durand (FRA),,Drapeau de France Jacky Durand (FRA),
E-1995-1,1995,1,Dinan - Lannion,Dinan,France,Lannion,France,"233,5",,Drapeau d'Italie Fabio Baldato (ITA),,Drapeau de France Jacky Durand (FRA),
E-1995-2,1995,2,Perros-Guirec - Vitré,Perros-Guirec,France,Vitré,France,"235,5",,Drapeau d'Italie Mario Cipollini (ITA),,Drapeau de France Laurent Jalabert (FRA),
E-1995-3,1995,3,Mayenne - Alençon,Mayenne,France,Alençon,France,67,(CLM par équipes),Drapeau d'Italie Gewiss-Ballan (ITA),,Drapeau de France Laurent Jalabert (FRA),
E-1995-4,1995,4,Alençon - Le Havre,Alençon,France,Le Havre,France,162,,Drapeau d'Italie Mario Cipollini (ITA),,Drapeau d'Italie Ivan Gotti (ITA),
E-1995-5,1995,5,Fecamp - Dunkerque,Fecamp,France,Dunkerque,France,261,,Drapeau des Pays-Bas Jeroen Blijlevens (NED),,Drapeau d'Italie Ivan Gotti (ITA),
E-1995-6,1995,6,Dunkerque - Charleroi,Dunkerque,France,Charleroi,Belgique,202,,Drapeau d'Allemagne Erik Zabel (GER),,Drapeau du Danemark Bjarne Riis (DEN),
E-1995-7,1995,7,Charleroi - Liège,Charleroi,Belgique,Liège,Belgique,203,,Drapeau de Belgique Johan Bruyneel (BEL),,Drapeau de Belgique Johan Bruyneel (BEL),
E-1995-8,1995,8,Huy - Seraing,Huy,Belgique,Seraing,Belgique,54,(CLM),Drapeau d'Espagne Miguel Indurain (ESP),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-9,1995,9,Le Grand-Bornand - La Plagne,Le Grand-Bornand,France,La Plagne,France,160, Étape de montagne,Drapeau de Suisse Alex Zülle (SUI),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-10,1995,10,Aime - L'Alpe d'Huez,Aime,France,L'Alpe d'Huez,France,"162,5", Étape de montagne,Drapeau d'Italie Marco Pantani (ITA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-11,1995,11,Le Bourg-d'Oisans - Saint-Étienne,Le Bourg-d'Oisans,France,Saint-Étienne,France,199, Étape de montagne,Drapeau de Grande-Bretagne Maximilian Sciandri (GBR),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-12,1995,12,Saint-Étienne - Mende,Saint-Étienne,France,Mende,France,"222,5", Étape de montagne,Drapeau de France Laurent Jalabert (FRA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-13,1995,13,Mende - Revel,Mende,France,Revel,France,245, Étape de montagne,Drapeau d'Ukraine Sergueï Outschakov (UKR),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-14,1995,14,Saint-Orens - Guzet-neige,Saint-Orens,France,Guzet-neige,France,164, Étape de montagne,Drapeau d'Italie Marco Pantani (ITA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-15,1995,15,Saint-Girons - Cauterets,Saint-Girons,France,Cauterets,France,206, Étape de montagne,Drapeau de France Richard Virenque (FRA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-16,1995,16,Tarbes - Pau,Tarbes,France,Pau,France,149,,Étape neutralisée en hommage à Fabio Casartelli,,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-17,1995,17,Pau - Bordeaux,Pau,France,Bordeaux,France,246,,Drapeau d'Allemagne Erik Zabel (GER),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-18,1995,18,Montpon-Ménestérol - Limoges,Montpon-Ménestérol,France,Limoges,France,"166,5",,Drapeau des États-Unis Lance Armstrong (USA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-19,1995,19,Lac de Vassivière,Lac de Vassivière,France,Limoges,France,"46,5",(CLM),Drapeau d'Espagne Miguel Indurain (ESP),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1995-20,1995,20,Sainte-Geneviève-des-Bois - Paris,Sainte-Geneviève-des-Bois,France,Paris,France,155,,Drapeau d'Ouzbékistan Djamolidine Abdoujaparov (UZB),,Drapeau d'Espagne Miguel Indurain (ESP),
