ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1977-Prologue,1977,Prologue,Fleurance,Fleurance,France,Fleurance,France,5,(CLM),Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-1,1977,1,Fleurance - Auch,Fleurance,France,Auch,France,237,,Pierre-Raymond Villemiane Drapeau de France France,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-2,1977,2,Auch - Pau,Auch,France,Pau,France,253,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-3,1977,3,Oloron-Sainte-Marie - Vitoria-Gasteiz (ESP),Oloron-Sainte-Marie,France,Vitoria-Gasteiz,Espagne,248,,José Nazábal Drapeau : EspagneEspagne,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-4,1977,4,Vitoria-Gasteiz - Seignosse-le-Penon,Vitoria-Gasteiz,Espagne,Seignosse-le-Penon,France,256,,Régis Delépine Drapeau de France France,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-5a,1977,5a,Morcenx - Bordeaux,Morcenx,France,Bordeaux,France,"138,5",,Jacques Esclassan Drapeau de France France,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-5b,1977,5b,Bordeaux (Circuit du Lac),Bordeaux,France,Bordeaux,France,"30,2",(CLM),Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-6,1977,6,Bordeaux - Limoges,Bordeaux,France,Limoges,France,"225,5",,Jan Raas Drapeau : Pays-Bas Pays-Bas,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-7a,1977,7a,Jaunay-Clan - Angers,Jaunay-Clan,France,Angers,France,"139,5",,Patrick Sercu Drapeau belge Belgique,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-7b,1977,7b,Angers,Angers,France,Angers,France,4,(CLM par équipes),FIAT,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-8,1977,8,Angers - Lorient,Angers,France,Lorient,France,"246,5",,Giacinto Santambrogio Drapeau d'Italie Italie,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-9,1977,9,Lorient - Rennes,Lorient,France,Rennes,France,187,,Klaus-Peter Thaler Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-10,1977,10,Bagnoles-de-l'Orne - Rouen,Bagnoles-de-l'Orne,France,Rouen,France,174,,Fedor den Hertog Drapeau : Pays-Bas Pays-Bas,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-11,1977,11,Rouen - Roubaix,Rouen,France,Roubaix,France,"242,5",,Jean-Pierre Danguillaume Drapeau de France France,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-12,1977,12,Roubaix - Charleroi (BEL),Roubaix,France,Charleroi,Belgique,"192,5",,Patrick Sercu Drapeau belge Belgique,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-13a,1977,13a,Fribourg-en-Brisgau (RFA) - Fribourg-en-Brisgau,Fribourg-en-Brisgau,Allemagne,Fribourg-en-Brisgau,Allemagne,46,,Patrick Sercu Drapeau belge Belgique,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-13b,1977,13b,Altkirch - Besançon,Altkirch,France,Besançon,France,"159,5",,Jean-Pierre Danguillaume Drapeau de France France,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-14,1977,14,Besançon - Thonon-les-Bains,Besançon,France,Thonon-les-Bains,France,230,,Bernard Quilfen Drapeau de France France,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-15a,1977,15a,Thonon-les-Bains - Morzine,Thonon-les-Bains,France,Morzine,France,105,,Paul Wellens Drapeau belge Belgique,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,
E-1977-15b,1977,15b,Morzine - Avoriaz,Morzine,France,Avoriaz,France,14,(CLM),Lucien Van Impe Drapeau belge Belgique,,Bernard Thévenet Drapeau de France France,
E-1977-16,1977,16,Morzine - Chamonix,Morzine,France,Chamonix,France,121,,Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,,Bernard Thévenet Drapeau de France France,
E-1977-17,1977,17,Chamonix - L'Alpe d'Huez,Chamonix,France,L'Alpe d'Huez,France,"184,5",,Hennie Kuiper Drapeau : Pays-Bas Pays-Bas,,Bernard Thévenet Drapeau de France France,
E-1977-18,1977,18,Voiron - Saint-Étienne,Voiron,France,Saint-Étienne,France,"199,5",,— ¹),,Bernard Thévenet Drapeau de France France,
E-1977-19,1977,19,Saint-Trivier-sur-Moignans - Dijon,Saint-Trivier-sur-Moignans,France,Dijon,France,"171,5",,Gerrie Knetemann Drapeau : Pays-Bas Pays-Bas,,Bernard Thévenet Drapeau de France France,
E-1977-20,1977,20,Dijon - Dijon,Dijon,France,Dijon,France,50,(CLM),Bernard Thévenet Drapeau de France France,,Bernard ThévenetDrapeau de France France,
E-1977-21,1977,21,Montereau - Versailles,Montereau,France,Versailles,France,"141,5",,Gerrie Knetemann Drapeau : Pays-Bas Pays-Bas,,Bernard Thévenet Drapeau de France France,
E-1977-22a,1977,22a,Paris (Champs-Élysées),Paris,France,Paris,France,6,(CLM),Dietrich Thurau Drapeau d'Allemagne de l'Ouest Allemagne de l'Ouest,,Bernard Thévenet Drapeau de France France,
E-1977-22b,1977,22b,Paris (Circuit des Champs-Élysées),Paris,France,Paris,France,91,,Alain Meslet Drapeau de France France,,Bernard Thévenet Drapeau de France France,
