ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1975-Prologue,1975,Prologue,Charleroi,Charleroi,Belgique,Charleroi,Belgique,"6,25",(CLM),Drapeau d'Italie Francesco Moser (ITA),,Drapeau d'Italie Francesco Moser (ITA),
E-1975-1a,1975,1a,Charleroi - Molenbeek,Charleroi,Belgique,Molenbeek,Belgique,94,,Drapeau des Pays-Bas Cees Priem (NED),,Drapeau d'Italie Francesco Moser (ITA),
E-1975-1b,1975,1b,Molenbeek - Roubaix,Molenbeek,Belgique,Roubaix,France,"108,5",,Drapeau de Belgique Rik Van Linden (BEL),,Drapeau d'Italie Francesco Moser (ITA),
E-1975-2,1975,2,Roubaix - Amiens,Roubaix,France,Amiens,France,"121,5",,Drapeau de Belgique Ronald De Witte (BEL),,Drapeau d'Italie Francesco Moser (ITA),
E-1975-3,1975,3,Amiens - Versailles,Amiens,France,Versailles,France,"169,5",,Drapeau de Belgique Karel Rottiers (BEL),,Drapeau d'Italie Francesco Moser (ITA),
E-1975-4,1975,4,Versailles - Le Mans,Versailles,France,Le Mans,France,223,,Drapeau de France Jacques Esclassan (FRA),,Drapeau d'Italie Francesco Moser (ITA),
E-1975-5,1975,5,Sablé-sur-Sarthe - Merlin-Plage,Sablé-sur-Sarthe,France,"Merlin-Plage, Saint-Hilaire-de-Riez",France,"222,5",,Drapeau des Pays-Bas Theo Smit (NED),,Drapeau d'Italie Francesco Moser (ITA),
E-1975-6,1975,6,Circuit Merlin-Plage,Saint-Hilaire-de-Riez,France,Saint-Hilaire-de-Riez,France,16,(CLM),Drapeau de Belgique Eddy Merckx (BEL),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-7,1975,7,Saint-Gilles-Croix-de-Vie - Angoulême,Saint-Gilles-Croix-de-Vie,France,Angoulême,France,"235,5",,Drapeau d'Italie Francesco Moser (ITA),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-8,1975,8,Angoulême - Bordeaux,Angoulême,France,Bordeaux,France,134,,Drapeau de Grande-Bretagne Barry Hoban (GBR),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-9a,1975,9a,Langon - Fleurance,Langon,France,Fleurance,France,131,,Drapeau des Pays-Bas Theo Smit (NED),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-9b,1975,9b,Fleurance - Auch,Fleurance,France,Auch,France,"37,4",(CLM),Drapeau de Belgique Eddy Merckx (BEL),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-10,1975,10,Auch - Pau,Auch,France,Pau,France,206,,Drapeau d'Italie Felice Gimondi (ITA),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-11,1975,11,Pau - Saint-Lary-Soulan,Pau,France,Saint-Lary-Soulan,France,160,,Drapeau des Pays-Bas Joop Zoetemelk (NED),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-12,1975,12,Tarbes - Albi,Tarbes,France,Albi,France,242,,Drapeau des Pays-Bas Gerrie Knetemann (NED),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-13,1975,13,Albi - Super Lioran,Albi,France,Super Lioran,France,260,,Drapeau de Belgique Michel Pollentier (BEL),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-14,1975,14,Aurillac - Puy de Dôme,Aurillac,France,Puy de Dôme,France,"173,5",,Drapeau de Belgique Lucien Van Impe (BEL),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-15,1975,15,Nice - Pra Loup,Nice,France,Pra Loup,France,"217,5",,Drapeau de France Bernard Thévenet (FRA),,Drapeau de Belgique Eddy Merckx (BEL),
E-1975-16,1975,16,Barcelonnette - Serre Chevalier,Barcelonnette,France,Serre Chevalier,France,107,,Drapeau de France Bernard Thévenet (FRA),,Drapeau de France Bernard Thévenet (FRA),
E-1975-17,1975,17,Valloire - Morzine-Avoriaz,Valloire,France,Morzine-Avoriaz,France,225,,Drapeau d'Espagne Vicente López Carril (ESP),,Drapeau de France Bernard Thévenet (FRA),
E-1975-18,1975,18,Morzine - Châtel,Morzine,France,Châtel,France,40,(CLM),Drapeau de Belgique Lucien Van Impe (BEL),,Drapeau de France Bernard Thévenet (FRA),
E-1975-19,1975,19,Thonon-les-Bains - Chalon sur Saône,Thonon-les-Bains,France,Chalon sur Saône,France,229,,Drapeau de Belgique Rik Van Linden (BEL),,Drapeau de France Bernard Thévenet (FRA),
E-1975-20,1975,20,Pouilly-en-Auxois - Melun,Pouilly-en-Auxois,France,Melun,France,256,,Drapeau d'Italie Giacinto Santambrogio (ITA),,Drapeau de France Bernard Thévenet (FRA),
E-1975-21,1975,21,Melun - Senlis,Melun,France,Senlis,France,"220,5",,Drapeau de Belgique Rik Van Linden (BEL),,Drapeau de France Bernard Thévenet (FRA),
E-1975-22,1975,22,Paris (Circuit Champs-Élysées),Paris,France,Paris,France,"163,35",,Drapeau de Belgique Walter Godefroot (BEL),,Drapeau de France Bernard Thévenet (FRA),
