ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1956-1,1956,1,Reims - Liège (BEL),Reims,France,Liège,Belgique,223,,Drapeau : FranceAndré Darrigade,,Drapeau : FranceAndré Darrigade,
E-1956-2,1956,2,Liège (BEL) - Lille,Liège,Belgique,Lille,France,217,,Drapeau : BelgiqueAlfred De Bruyne,,Drapeau : FranceAndré Darrigade,
E-1956-3,1956,3,Lille - Rouen,Lille,France,Rouen,France,225,,Drapeau : ItalieArrigo Padovan,,Drapeau : BelgiqueGilbert Desmet,
E-1956-4a,1956,4a,Circuit de Rouen-les-Essarts,Rouen,France,Rouen,France,15, (CLM),Drapeau : LuxembourgCharly Gaul,,Drapeau : BelgiqueGilbert Desmet,
E-1956-4b,1956,4b,Rouen - Caen,Rouen,France,Caen,France,125,,Drapeau : FranceRoger Hassenforder,,Drapeau : FranceAndré Darrigade,
E-1956-5,1956,5,Caen - Saint-Malo,Caen,France,Saint-Malo,France,189,,Drapeau : FranceJoseph Morvan,,Drapeau : FranceAndré Darrigade,
E-1956-6,1956,6,Saint-Malo - Lorient,Saint-Malo,France,Lorient,France,192,,Drapeau : BelgiqueAlfred De Bruyne,,Drapeau : FranceAndré Darrigade,
E-1956-7,1956,7,Lorient - Angers,Lorient,France,Angers,France,244,,Drapeau : ItalieAlessandro Fantini,,Drapeau : FranceRoger Walkowiak,
E-1956-8,1956,8,Angers - La Rochelle,Angers,France,La Rochelle,France,180,,Drapeau : EspagneMiguel Poblet,,Drapeau : FranceRoger Walkowiak,
E-1956-9,1956,9,La Rochelle - Bordeaux,La Rochelle,France,Bordeaux,France,219,,Drapeau : FranceRoger Hassenforder,,Drapeau : FranceRoger Walkowiak,
E-1956-10,1956,10,Bordeaux - Bayonne,Bordeaux,France,Bayonne,France,201,,Drapeau : BelgiqueAlfred De Bruyne,,Drapeau : Pays-BasGerrit Voorting,
E-1956-11,1956,11,Bayonne - Pau,Bayonne,France,Pau,France,255,,Drapeau : ItalieNino Defilippis,,Drapeau : FranceAndré Darrigade,
E-1956-12,1956,12,Pau - Luchon,Pau,France,Luchon,France,130,,Drapeau : LuxembourgJean-Pierre Schmitz,,Drapeau : BelgiqueJan Adriaensens,
E-1956-13,1956,13,Luchon - Toulouse,Luchon,France,Toulouse,France,176,,Drapeau : ItalieNino Defilippis,,Drapeau : BelgiqueJan Adriaensens,
E-1956-14,1956,14,Toulouse - Montpellier,Toulouse,France,Montpellier,France,231,,Drapeau : FranceRoger Hassenforder,,Drapeau : BelgiqueJan Adriaensens,
E-1956-15,1956,15,Montpellier - Aix-en-Provence,Montpellier,France,Aix-en-Provence,France,204,,Drapeau : FranceJoseph Thomin,,Drapeau : Pays-BasWout Wagtmans,
E-1956-16,1956,16,Aix-en-Provence - Gap,Aix-en-Provence,France,Gap,France,203,,Drapeau : FranceJean Forestier,,Drapeau : Pays-BasWout Wagtmans,
E-1956-17,1956,17,Gap - Turin (ITA),Gap,France,Turin,Italie,234,,Drapeau : ItalieNino Defilippis,,Drapeau : Pays-BasWout Wagtmans,
E-1956-18,1956,18,Turin (ITA) - Grenoble,Turin,Italie,Grenoble,France,250,,Drapeau : LuxembourgCharly Gaul,,Drapeau : FranceRoger Walkowiak,
E-1956-19,1956,19,Grenoble - Saint-Étienne,Grenoble,France,Saint-Étienne,France,173,,Drapeau : BelgiqueStan Ockers,,Drapeau : FranceRoger Walkowiak,
E-1956-20,1956,20,Saint-Étienne - Lyon,Saint-Étienne,France,Lyon,France,73, (CLM),Drapeau : EspagneMiguel Bover,,Drapeau : FranceRoger Walkowiak,
E-1956-21,1956,21,Lyon - Montluçon,Lyon,France,Montluçon,France,237,,Drapeau : FranceRoger Hassenforder,,Drapeau : FranceRoger Walkowiak,
E-1956-22,1956,22,Montluçon - Paris,Montluçon,France,Paris,France,331,,Drapeau : ItalieGastone Nencini,,Drapeau : FranceRoger Walkowiak,
