ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1994-Prologue,1994,Prologue,Lille,Lille,France,Lille,France,"7,2",(CLM),Drapeau de Grande-Bretagne Chris Boardman (GBR),,Drapeau de Grande-Bretagne Chris Boardman (GBR),
E-1994-1,1994,1,Lille - Armentières,Lille,France,Armentières,France,234,,Drapeau d'Ouzbékistan Djamolidine Abdoujaparov (UZB),,Drapeau de Grande-Bretagne Chris Boardman (GBR),
E-1994-2,1994,2,Roubaix - Boulogne-sur-Mer,Roubaix,France,Boulogne-sur-Mer,France,"203,5",,Drapeau des Pays-Bas Jean-Paul van Poppel (NED),,Drapeau de Grande-Bretagne Chris Boardman (GBR),
E-1994-3,1994,3,Calais - Coquelles,Calais,France,Coquelles,France,"66,5",(CLM par équipes),GB-MG Technogym,,Drapeau de Belgique Johan Museeuw (BEL),
E-1994-4,1994,4,Douvres - Brighton,Douvres,Royaume-Uni,Brighton,Royaume-Uni,"204,5",,Drapeau d'Espagne Francisco Cabello (ESP),,Drapeau d'Italie Flavio Vanzella (ITA),
E-1994-5,1994,5,Portsmouth - Portsmouth,Portsmouth,Royaume-Uni,Portsmouth,Royaume-Uni,187,,Drapeau d'Italie Nicola Minali (ITA),,Drapeau d'Italie Flavio Vanzella (ITA),
E-1994-6,1994,6,Cherbourg - Rennes,Cherbourg,France,Rennes,France,"270,5",,Drapeau d'Italie Gianluca Bortolami (ITA),,Drapeau de Grande-Bretagne Sean Yates (GBR),
E-1994-7,1994,7,Rennes - Futuroscope,Rennes,France,"Futuroscope, Poitiers",France,203,,Drapeau de Slovaquie Ján Svorada (SVK),,Drapeau de Belgique Johan Museeuw (BEL),
E-1994-8,1994,8,Poitiers - Trélissac,Poitiers,France,Trélissac,France,"218,5",,Drapeau du Danemark Bo Hamburger (DEN),,Drapeau de Belgique Johan Museeuw (BEL),
E-1994-9,1994,9,Périgueux - Bergerac,Périgueux,France,Bergerac,France,64,(CLM),Drapeau d'Espagne Miguel Indurain (ESP),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-10,1994,10,Bergerac - Cahors,Bergerac,France,Cahors,France,"160,5",,Drapeau de France Jacky Durand (FRA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-11,1994,11,Cahors - Lourdes-Hautacam,Cahors,France,"Hautacam, Préchac",France,"263,5", Étape de montagne,Drapeau de France Luc Leblanc (FRA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-12,1994,12,Lourdes - Luz-Ardiden,Lourdes,France,Luz-Ardiden,France,"204,5", Étape de montagne,Drapeau de France Richard Virenque (FRA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-13,1994,13,Bagnères-de-Bigorre - Albi,Bagnères-de-Bigorre,France,Albi,France,223,,Drapeau du Danemark Bjarne Riis (DEN),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-14,1994,14,Castres - Montpellier,Castres,France,Montpellier,France,202,,Drapeau du Danemark Rolf Sørensen (DEN),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-15,1994,15,Montpellier - Carpentras,Montpellier,France,Carpentras,France,231, Étape de montagne,Drapeau d'Italie Eros Poli (ITA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-16,1994,16,Valréas - L'Alpe-d'Huez,Valréas,France,L'Alpe-d'Huez,France,"224,5", Étape de montagne,Drapeau d'Italie Roberto Conti (ITA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-17,1994,17,Bourg-d'Oisans - Val-Thorens,Bourg-d'Oisans,France,Val-Thorens,France,149, Étape de montagne,Drapeau de Colombie Nélson Rodríguez (COL),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-18,1994,18,Moûtiers - Cluses,Moûtiers,France,Cluses,France,"174,5", Étape de montagne,Drapeau de Lettonie Piotr Ugrumov (LAT),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-19,1994,19,Cluses - Avoriaz,Cluses,France,Avoriaz,France,"46,5", Étape de montagne (CLM),Drapeau de Lettonie Piotr Ugrumov (LAT),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-20,1994,20,Morzine - Lac Saint-Point,Morzine,France,Lac Saint-Point,France,"208,5",,Drapeau d'Ouzbékistan Djamolidine Abdoujaparov (UZB),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1994-21,1994,21,Disneyland Paris - Paris,Marne La Vallée,France,Paris,France,175,,Drapeau de France Eddy Seigneur (FRA),,Drapeau d'Espagne Miguel Indurain (ESP),
