ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1971-Prologue,1971,Prologue,Mulhouse,Mulhouse,,Mulhouse,,11,(CLM par équipes),Molteni,,Eddy Merckx Drapeau belge Belgique,
E-1971-1a,1971,1a,Mulhouse - Bâle (CH),Mulhouse,,Bâle,Suisse,"59,5",,Eric Leman Drapeau belge Belgique,,Marinus Wagtmans Drapeau : Pays-Bas Pays-Bas,
E-1971-1b,1971,1b,Bâle - Fribourg (RFA),Bâle,Suisse,Fribourg,Allemagne,90,,Gerben Karstens Drapeau : Pays-Bas Pays-Bas,,Eddy Merckx Drapeau belge Belgique,
E-1971-1c,1971,1c,Fribourg - Mulhouse,Fribourg,Allemagne,Mulhouse,France,74,,Albert Van Vlierberghe Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1971-2,1971,2,Mulhouse - Strasbourg,Mulhouse,France,Strasbourg,France,144,,Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1971-3,1971,3,Strasbourg - Nancy,Strasbourg,France,Nancy,France,"165,5",,Marinus Wagtmans Drapeau : Pays-Bas Pays-Bas,,Eddy Merckx Drapeau belge Belgique,
E-1971-4,1971,4,Nancy - Marche-en-Famenne,Nancy,France,Marche-en-Famenne,Belgique,242,,Jean-Pierre Genet Drapeau de France France,,Eddy Merckx Drapeau belge Belgique,
E-1971-5,1971,5,Dinant - Roubaix,Dinant,Belgique,Roubaix,France,"208,5",,Pietro Guerra Drapeau d'Italie Italie,,Eddy Merckx Drapeau belge Belgique,
E-1971-6a,1971,6a,Roubaix - Amiens,Roubaix,France,Amiens,France,"127,5",,Eric Leman Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1971-6b,1971,6b,Amiens - Le Touquet,Amiens,France,Le Touquet,France,"133,5",,Mauro Simonetti Drapeau d'Italie Italie,,Eddy Merckx Drapeau belge Belgique,
E-1971-7,1971,7,Rungis - Nevers,Rungis,France,Nevers,France,"257,5",,Eric Leman Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1971-8,1971,8,Nevers - Puy de Dôme,Nevers,France,Puy de Dôme,France,221,,Luis Ocaña Drapeau : EspagneEspagne,,Eddy Merckx Drapeau belge Belgique,
E-1971-9,1971,9,Clermont-Ferrand - Saint-Étienne,Clermont-Ferrand,France,Saint-Étienne,France,153,,Walter Godefroot Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1971-10,1971,10,Saint-Étienne - Grenoble,Saint-Étienne,France,Grenoble,France,"188,5",,Bernard Thévenet Drapeau de France France,,Joop Zoetemelk Drapeau : Pays-Bas Pays-Bas,
E-1971-11,1971,11,Grenoble - Orcières-Merlette,Grenoble,France,Orcières-Merlette,France,134,,Luis Ocaña Drapeau : EspagneEspagne,,Luis Ocaña Drapeau : EspagneEspagne,
E-1971-12,1971,12,Orcières-Merlette - Marseille,Orcières-Merlette,France,Marseille,France,251,,Luciano Armani Drapeau d'Italie Italie,,Luis Ocaña Drapeau : EspagneEspagne,
E-1971-13,1971,13,Albi - Albi,Albi,France,Albi,France,"16,5",(CLM),Eddy Merckx Drapeau belge Belgique,,Luis Ocaña Drapeau : EspagneEspagne,
E-1971-14,1971,14,Revel - Luchon,Revel,France,Luchon,France,"214,5",,José Manuel Fuente Drapeau : EspagneEspagne,,Eddy Merckx Drapeau belge Belgique,
E-1971-15,1971,15,Luchon - Superbagnères,Luchon,France,Superbagnères,France,"19,5",,José Manuel Fuente Drapeau : EspagneEspagne,,Eddy Merckx Drapeau belge Belgique,
E-1971-16a,1971,16a,Luchon - Gourette/Les Eaux Bonnes,Luchon,France,"Gourette, Eaux-Bonnes",France,145,,Bernard Labourdette Drapeau de France France,,Eddy Merckx Drapeau belge Belgique,
E-1971-16b,1971,16b,Gourette/Les Eaux Bonnes - Pau,"Gourette, Eaux-Bonnes",France,Pau,France,"57,5",(CLM),Herman Van Springel Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1971-17,1971,17,Mont-de-Marsan - Bordeaux,Mont-de-Marsan,France,Bordeaux,France,188,,Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
E-1971-18,1971,18,Bordeaux - Poitiers,Bordeaux,France,Poitiers,France,244,,Jean-Pierre Danguillaume Drapeau de France France,,Eddy Merckx Drapeau belge Belgique,
E-1971-19,1971,19,Blois - Versailles,Blois,France,Versailles,France,185,,Jan Krekels Drapeau : Pays-Bas Pays-Bas,,Eddy Merckx Drapeau belge Belgique,
E-1971-20,1971,20,Versailles - Paris,Versailles,France,Paris,France,54,(CLM),Eddy Merckx Drapeau belge Belgique,,Eddy Merckx Drapeau belge Belgique,
