ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1973-Prologue,1973,Prologue,Scheveningen (NL),Scheveningen,Pays-Bas,Scheveningen,Pays-Bas,"7,1",(CLM),Joop Zoetemelk Drapeau : Pays-Bas Pays-Bas,,Joop Zoetemelk Drapeau : Pays-Bas Pays-Bas,
E-1973-1a,1973,1a,Scheveningen - Rotterdam (NL),Scheveningen,Pays-Bas,Rotterdam,Pays-Bas,84,,Willy Teirlinck Drapeau belge Belgique,,Willy Teirlinck Drapeau belge Belgique,
E-1973-1b,1973,1b,Rotterdam - Sint-Niklaas (BEL),Rotterdam,Pays-Bas,Sint-Niklaas,Belgique,"137,5",,José Catieau Drapeau de France France,,Herman Van Springel Drapeau belge Belgique,
E-1973-2a,1973,2a,Sint-Niklaas - Sint-Niklaas,Sint-Niklaas,Belgique,Sint-Niklaas,Belgique,"12,4",(CLM par équipes),Watney-Maes,,Herman Van Springel Drapeau belge Belgique,
E-1973-2b,1973,2b,Sint-Niklaas - Roubaix,Sint-Niklaas,Belgique,Roubaix,France,138,,Eddy Verstraeten Drapeau belge Belgique,,Herman Van Springel Drapeau belge Belgique,
E-1973-3,1973,3,Roubaix - Reims,Roubaix,France,Reims,France,226,,Cyrille Guimard Drapeau de France France,,José Catieau Drapeau de France France,
E-1973-4,1973,4,Reims - Nancy,Reims,France,Nancy,France,214,,Joop Zoetemelk Drapeau : Pays-Bas Pays-Bas,,José Catieau Drapeau de France France,
E-1973-5,1973,5,Nancy - Mulhouse,Nancy,France,Mulhouse,France,188,,Walter Godefroot Drapeau belge Belgique,,José Catieau Drapeau de France France,
E-1973-6,1973,6,Belfort - Divonne-les-Bains,Belfort,France,Divonne-les-Bains,France,"244,5",,Jean-Pierre Danguillaume Drapeau de France France,,José Catieau Drapeau de France France,
E-1973-7a,1973,7a,Divonne-les-Bains - Gaillard,Divonne-les-Bains,France,Gaillard,France,"86,5",,Luis Ocaña Drapeau : EspagneEspagne,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-7b,1973,7b,Gaillard - Méribel,Gaillard,France,Méribel,France,"150,5",,Bernard Thévenet Drapeau de France France,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-8,1973,8,Moûtiers - Les Orres,Moûtiers,France,Les Orres,France,"237,5",,Luis Ocaña Drapeau : EspagneEspagne,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-9,1973,9,Embrun - Nice,Embrun,France,Nice,France,"234,5",,Vicente López Carril Drapeau : EspagneEspagne,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-10,1973,10,Nice - Aubagne,Nice,France,Aubagne,France,"222,5",,Michael Wright Drapeau : Royaume-Uni Royaume-Uni,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-11,1973,11,Montpellier - Argelès-sur-Mer,Montpellier,France,Argelès-sur-Mer,France,238,,Barry Hoban Drapeau : Royaume-Uni Royaume-Uni,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-12a,1973,12a,Perpignan - Thuir,Perpignan,France,Thuir,France,"28,3",(CLM),Luis Ocaña Drapeau : EspagneEspagne,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-12b,1973,12b,Thuir - Pyrénées 2000,Thuir,France,Pyrénées 2000,France,76,,Lucien Van Impe Drapeau belge Belgique,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-13,1973,13,Bourg-Madame - Luchon,Bourg-Madame,France,Luchon,France,235,,Luis Ocaña Drapeau : EspagneEspagne,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-14,1973,14,Luchon - Pau,Luchon,France,Pau,France,"227,5",,Pedro Torres Drapeau : EspagneEspagne,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-15,1973,15,Pau - Fleurance,Pau,France,Fleurance,France,137,,Wilfried David Drapeau belge Belgique,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-16a,1973,16a,Fleurance - Bordeaux,Fleurance,France,Bordeaux,France,210,,Walter Godefroot Drapeau belge Belgique,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-16b,1973,16b,Bordeaux - Bordeaux,Bordeaux,France,Bordeaux,France,"12,4",(CLM),Joaquim Agostinho Portugal Portugal,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-17,1973,17,Sainte-Foy-la-Grande - Brive-la-Gaillarde,Sainte-Foy-la-Grande,France,Brive-la-Gaillarde,France,248,,Claude Tollet Drapeau de France France,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-18,1973,18,Brive-la-Gaillarde - Puy de Dôme,Brive-la-Gaillarde,France,Puy de Dôme,France,"216,5",,Luis Ocaña Drapeau : EspagneEspagne,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-19,1973,19,Bourges - Versailles,Bourges,France,Versailles,France,"233,5",,Barry Hoban Drapeau : Royaume-Uni Royaume-Uni,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-20a,1973,20a,Versailles - Versailles,Versailles,France,Versailles,France,16,(CLM),Luis Ocaña Drapeau : EspagneEspagne,,Luis Ocaña Drapeau : EspagneEspagne,
E-1973-20b,1973,20b,Versailles - Paris,Versailles,France,Paris,France,89,,Bernard Thévenet Drapeau de France France,,Luis Ocaña Drapeau : EspagneEspagne,
