ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1926-1,1926,1,Évian - Mulhouse,Évian,France,Mulhouse,France,373,,Jules Buysse Drapeau belge Belgique,,Jules Buysse Drapeau belge Belgique,
E-1926-2,1926,2,Mulhouse - Metz,Mulhouse,France,Metz,France,334,,Aimé Dossche Drapeau belge Belgique,,Jules Buysse Drapeau belge Belgique,
E-1926-3,1926,3,Metz - Dunkerque,Metz,France,Dunkerque,France,433,,Gustave Van Slembrouck Drapeau belge Belgique,,Gustave Van Slembrouck Drapeau belge Belgique,
E-1926-4,1926,4,Dunkerque - Le Havre,Dunkerque,France,Le Havre,France,361,,Félix Sellier Drapeau belge Belgique,,Gustave Van Slembrouck Drapeau belge Belgique,
E-1926-5,1926,5,Le Havre - Cherbourg,Le Havre,France,Cherbourg,France,357,,Adelin Benoît Drapeau belge Belgique,,Gustave Van Slembrouck Drapeau belge Belgique,
E-1926-6,1926,6,Cherbourg - Brest,Cherbourg,France,Brest,France,405,,Joseph Van Dam Drapeau belge Belgique,,Gustave Van Slembrouck Drapeau belge Belgique,
E-1926-7,1926,7,Brest - Les Sables-d'Olonne,Brest,France,Les Sables-d'Olonne,France,412,,Nicolas Frantz Drapeau du Luxembourg Luxembourg,,Gustave Van Slembrouck Drapeau belge Belgique,
E-1926-8,1926,8,Les Sables-d'Olonne - Bordeaux,Les Sables-d'Olonne,France,Bordeaux,France,285,,Joseph Van Dam Drapeau belge Belgique,,Gustave Van Slembrouck Drapeau belge Belgique,
E-1926-9,1926,9,Bordeaux - Bayonne,Bordeaux,France,Bayonne,France,189,,Nicolas Frantz Drapeau du Luxembourg Luxembourg,,Gustave Van Slembrouck Drapeau belge Belgique,
E-1926-10,1926,10,Bayonne - Luchon,Bayonne,France,Luchon,France,326,,Lucien Buysse Drapeau belge Belgique,,Lucien Buysse Drapeau belge Belgique,
E-1926-11,1926,11,Luchon - Perpignan,Luchon,France,Perpignan,France,323,,Lucien Buysse Drapeau belge Belgique,,Lucien Buysse Drapeau belge Belgique,
E-1926-12,1926,12,Perpignan - Toulon,Perpignan,France,Toulon,France,427,,Nicolas Frantz Drapeau du Luxembourg Luxembourg,,Lucien Buysse Drapeau belge Belgique,
E-1926-13,1926,13,Toulon - Nice,Toulon,France,Nice,France,280,,Nicolas Frantz Drapeau du Luxembourg Luxembourg,,Lucien Buysse Drapeau belge Belgique,
E-1926-14,1926,14,Nice - Briançon,Nice,France,Briançon,France,275,,Bartolomeo Aimo Flag of Italy (1861-1946) crowned.svgItalie,,Lucien Buysse Drapeau belge Belgique,
E-1926-15,1926,15,Briançon - Évian,Briançon,France,Évian,France,303,,Joseph Van Dam Drapeau belge Belgique,,Lucien Buysse Drapeau belge Belgique,
E-1926-16,1926,16,Évian - Dijon,Évian,France,Dijon,France,321,,Camille Van De Casteele Drapeau belge Belgique,,Lucien Buysse Drapeau belge Belgique,
E-1926-17,1926,17,Dijon - Paris,Dijon,France,Paris,France,341,,Aimé Dossche Drapeau belge Belgique,,Lucien Buysse Drapeau belge Belgique,
