ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1947-1,1947,1,Paris - Lille,Paris,France,Lille,France,236,,Ferdi Kübler Drapeau de Suisse Suisse,,Ferdi Kübler Drapeau de Suisse Suisse,
E-1947-2,1947,2,Lille - Bruxelles (BEL),Lille,France,Bruxelles,Belgique,182,,René Vietto Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-3,1947,3,Bruxelles (BEL) - Luxembourg (LUX),Bruxelles,Belgique,Luxembourg,Luxembourg,314,,Aldo Ronconi Drapeau d'Italie Italie,,René Vietto Drapeau de France France,
E-1947-4,1947,4,Luxembourg (LUX) - Strasbourg,Luxembourg,Luxembourg,Strasbourg,France,223,,Jean Robic Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-5,1947,5,Strasbourg - Besançon,Strasbourg,France,Besançon,France,248,,Ferdi Kübler Drapeau de Suisse Suisse,,René Vietto Drapeau de France France,
E-1947-6,1947,6,Besançon - Lyon,Besançon,France,Lyon,France,249,,Lucien Teisseire Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-7,1947,7,Lyon - Grenoble,Lyon,France,Grenoble,France,172,,Jean Robic Drapeau de France France,,Aldo Ronconi Drapeau d'Italie Italie,
E-1947-8,1947,8,Grenoble - Briançon,Grenoble,France,Briançon,France,185,,Fermo Camellini Drapeau d'Italie Italie,,Aldo Ronconi Drapeau d'Italie Italie,
E-1947-9,1947,9,Briançon - Digne-les-Bains,Briançon,France,Digne-les-Bains,France,217,,René Vietto Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-10,1947,10,Digne-les-Bains - Nice,Digne-les-Bains,France,Nice,France,255,,Fermo Camellini Drapeau d'Italie Italie,,René Vietto Drapeau de France France,
E-1947-11,1947,11,Nice - Marseille,Nice,France,Marseille,France,230,,Édouard Fachleitner Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-12,1947,12,Marseille - Montpellier,Marseille,France,Montpellier,France,165,,Henri Massal Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-13,1947,13,Montpellier - Carcassonne,Montpellier,France,Carcassonne,France,172,,Lucien Teisseire Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-14,1947,14,Carcassonne - Luchon,Carcassonne,France,Luchon,France,253,,Albert Bourlon Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-15,1947,15,Luchon - Pau,Luchon,France,Pau,France,195,,Jean Robic Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-16,1947,16,Pau - Bordeaux,Pau,France,Bordeaux,France,195,,Giuseppe Tacca Drapeau d'Italie Italie,,René Vietto Drapeau de France France,
E-1947-17,1947,17,Bordeaux - Les Sables-d'Olonne,Bordeaux,France,Les Sables-d'Olonne,France,272,,Éloi Tassin Drapeau de France France,,René Vietto Drapeau de France France,
E-1947-18,1947,18,Les Sables-d'Olonne - Vannes,Les Sables-d'Olonne,France,Vannes,France,236,,Pietro Tarchini Drapeau de Suisse Suisse,,René Vietto Drapeau de France France,
E-1947-19,1947,19,Vannes - Saint-Brieuc,Vannes,France,Saint-Brieuc,France,139,CLM indiv,Raymond Impanis Drapeau belge Belgique,,Pierre Brambilla Drapeau d'Italie Italie,
E-1947-20,1947,20,Saint-Brieuc - Caen,Saint-Brieuc,France,Caen,France,235,,Maurice Diot Drapeau de France France,,Pierre Brambilla Drapeau d'Italie Italie,
E-1947-21,1947,21,Caen - Paris,Caen,France,Paris,France,257,,Albéric Schotte Drapeau belge Belgique,,Jean Robic Drapeau de France France,
