ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1997-Prologue,1997,Prologue,Rouen - Rouen,Rouen,France,Rouen,France,"7,3",(CLM),Drapeau : Royaume-UniChris Boardman,,Drapeau : Royaume-UniChris Boardman,
E-1997-1,1997,1,Rouen - Forges-les-Eaux,Rouen,France,Forges-les-Eaux,France,192,,Drapeau : ItalieMario Cipollini,,Drapeau : ItalieMario Cipollini,
E-1997-2,1997,2,Saint-Valery-en-Caux - Vire,Saint-Valery-en-Caux,France,Vire,France,262,,Drapeau : ItalieMario Cipollini,,Drapeau : ItalieMario Cipollini,
E-1997-3,1997,3,Vire - Plumelec,Vire,France,Plumelec,France,224,,Drapeau : AllemagneErik Zabel,,Drapeau : ItalieMario Cipollini,
E-1997-4,1997,4,Plumelec - Le Puy du Fou,Plumelec,France,Le Puy du Fou,France,223,,Drapeau : ItalieNicola Minali,,Drapeau : ItalieMario Cipollini,
E-1997-5,1997,5,Chantonnay - La Châtre,Chantonnay,France,La Châtre,France,"261,5",,Drapeau : FranceCédric Vasseur,,Drapeau : FranceCédric Vasseur,
E-1997-6,1997,6,Le Blanc - Marennes,Le Blanc,France,Marennes,France,"215,5",,Drapeau : Pays-BasJeroen Blijlevens,,Drapeau : FranceCédric Vasseur,
E-1997-7,1997,7,Marennes - Bordeaux,Marennes,France,Bordeaux,France,194,,Drapeau : AllemagneErik Zabel,,Drapeau : FranceCédric Vasseur,
E-1997-8,1997,8,Sauternes - Pau,Sauternes,France,Pau,France,"161,5",,Drapeau : AllemagneErik Zabel,,Drapeau : FranceCédric Vasseur,
E-1997-9,1997,9,Pau - Loudenvielle,Pau,France,Loudenvielle,France,182, Étape de montagne,Drapeau : FranceLaurent Brochard,,Drapeau : FranceCédric Vasseur,
E-1997-10,1997,10,Luchon - Arcalis,Luchon,France,Arcalis,Andorre,"252,5", Étape de montagne,Drapeau : AllemagneJan Ullrich,,Drapeau : AllemagneJan Ullrich,
E-1997-11,1997,11,Andorre - Perpignan,Andorre,Andorre,Perpignan,France,192, Étape de montagne,Drapeau : FranceLaurent Desbiens,,Drapeau : AllemagneJan Ullrich,
E-1997-12,1997,12,St Etienne - St Etienne,St Etienne,France,St Etienne,France,"55,5",(CLM),Drapeau : AllemagneJan Ullrich,,Drapeau : AllemagneJan Ullrich,
E-1997-13,1997,13,St Etienne - L'Alpe d'Huez,St Etienne,France,L'Alpe d'Huez,France,"203,5", Étape de montagne,Drapeau : ItalieMarco Pantani,,Drapeau : AllemagneJan Ullrich,
E-1997-14,1997,14,Le Bourg-d'Oisans - Courchevel,Le Bourg-d'Oisans,France,Courchevel,France,148, Étape de montagne,Drapeau : FranceRichard Virenque,,Drapeau : AllemagneJan Ullrich,
E-1997-15,1997,15,Courchevel - Morzine,Courchevel,France,Morzine,France,"208,5", Étape de montagne,Drapeau : ItalieMarco Pantani,,Drapeau : AllemagneJan Ullrich,
E-1997-16,1997,16,Morzine - Fribourg,Morzine,France,Fribourg,Suisse,181,,Drapeau : FranceChristophe Mengin,,Drapeau : AllemagneJan Ullrich,
E-1997-17,1997,17,Fribourg - Colmar,Fribourg,Suisse,Colmar,France,"218,5",,Drapeau : AustralieNeil Stephens,,Drapeau : AllemagneJan Ullrich,
E-1997-18,1997,18,Colmar - Montbéliard,Colmar,France,Montbéliard,France,"175,5", Étape de montagne,Drapeau : FranceDidier Rous,,Drapeau : AllemagneJan Ullrich,
E-1997-19,1997,19,Montbéliard - Dijon,Montbéliard,France,Dijon,France,172,,Drapeau : ItalieMario Traversoni,,Drapeau : AllemagneJan Ullrich,
E-1997-20,1997,20,Disneyland Paris - Disneyland Paris,Marne La Vallée,France,Marne La Vallée,France,63,(CLM),Drapeau : EspagneAbraham Olano,,Drapeau : AllemagneJan Ullrich,
E-1997-21,1997,21,Disneyland Paris - Paris,Marne La Vallée,France,Paris,France,"149,5",,Drapeau : ItalieNicola Minali,,Drapeau : AllemagneJan Ullrich,
