ID,Année,Num étape,Nom étape,Ville départ,Pays départ,Ville arrivée,Pays Arrivée,km,"Type (plaine, montagne, accidentée, CLM équipes, CLM individuel)",Vainqueur d'étape,Nationalité vainqueur,Leader du classement général,Nationalité leader
E-1993-Prologue,1993,Prologue,Puy du Fou,Les Epesses,France,Les Epesses,France,"6,8",(CLM),Drapeau d'Espagne Miguel Indurain (ESP),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-1,1993,1,Luçon - Les Sables-d'Olonne,Luçon,France,Les Sables-d'Olonne,France,215,,Drapeau d'Italie Mario Cipollini (ITA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-2,1993,2,Les Sables-d'Olonne - Vannes,Les Sables-d'Olonne,France,Vannes,France,"203,5",,Drapeau de Belgique Wilfried Nelissen (BEL),,Drapeau de Belgique Wilfried Nelissen (BEL),
E-1993-3,1993,3,Vannes - Dinard,Vannes,France,Dinard,France,"189,5",,Drapeau d'Ouzbékistan D. Abdoujaparov (UZB),,Drapeau de Belgique Wilfried Nelissen (BEL),
E-1993-4,1993,4,Dinard - Avranches,Dinard,France,Avranches,France,81,(CLM par équipes),Drapeau d'Italie GB-MG Maglificio (ITA),,Drapeau d'Italie Mario Cipollini (ITA),
E-1993-5,1993,5,Avranches - Évreux,Avranches,France,Évreux,France,"225,5",,Drapeau du Danemark Jesper Skibby (DEN),,Drapeau de Belgique Wilfried Nelissen (BEL),
E-1993-6,1993,6,Évreux - Amiens,Évreux,France,Amiens,France,158,,Drapeau de Belgique Johan Bruyneel (BEL),,Drapeau d'Italie Mario Cipollini (ITA),
E-1993-7,1993,7,Péronne - Châlons-sur-Marne,Péronne,France,Châlons-sur-Marne,France,199,,Drapeau du Danemark Bjarne Riis (DEN),,Drapeau de Belgique Johan Museeuw (BEL),
E-1993-8,1993,8,Châlons-sur-Marne - Verdun,Châlons-sur-Marne,France,Verdun,France,"184,5",,Drapeau des États-Unis Lance Armstrong (USA),,Drapeau de Belgique Johan Museeuw (BEL),
E-1993-9,1993,9,Lac de Madine,Lac de Madine,France,Lac de Madine,France,59,(CLM),Drapeau d'Espagne Miguel Indurain (ESP),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-10,1993,10,Villard-de-Lans - Serre Chevalier ,Villard-de-Lans,France,Serre Chevalier,France,203, Étape de montagne,Drapeau de Suisse Tony Rominger (SUI),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-11,1993,11,Serre Chevalier - Isola 2000,Serre Chevalier,France,Isola 2000,France,180, Étape de montagne,Drapeau de Suisse Tony Rominger (SUI),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-12,1993,12,Isola 2000 - Marseille,Isola 2000,France,Marseille,France,"286,5",,Drapeau d'Italie Fabio Roscioli (ITA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-13,1993,13,Marseille - Montpellier,Marseille,France,Montpellier,France,"181,5",,Drapeau d'Allemagne Olaf Ludwig (GER),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-14,1993,14,Montpellier - Perpignan,Montpellier,France,Perpignan,France,223,,Drapeau de France Pascal Lino (FRA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-15,1993,15,Perpignan - Andorre-Pal,Perpignan,France,Pal,Andorre,"231,5", Étape de montagne,Drapeau de Colombie Oliverio Rincón (COL),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-16,1993,16,Andorre - Saint-Lary-Soulan,Andorre,Andorre,Saint-Lary-Soulan,France,"224,5", Étape de montagne,Drapeau de Pologne Zenon Jaskuła (POL),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-17,1993,17,Tarbes - Pau,Tarbes,France,Pau,France,190, Étape de montagne,Drapeau d'Italie Claudio Chiappucci (ITA),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-18,1993,18,Orthez - Bordeaux,Orthez,France,Bordeaux,France,"174,5",,Drapeau d'Ouzbékistan D. Abdoujaparov (UZB),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-19,1993,19,Brétigny-sur-Orge - Montlhéry,Brétigny-sur-Orge,France,Montlhéry,France,48,(CLM),Drapeau de Suisse Tony Rominger (SUI),,Drapeau d'Espagne Miguel Indurain (ESP),
E-1993-20,1993,20,Viry-Châtillon - Paris,Viry-Châtillon,France,Paris,France,"196,5",,Drapeau d'Ouzbékistan D. Abdoujaparov (UZB),,Drapeau d'Espagne Miguel Indurain (ESP),
